万里 不见 将军 无人 琵琶 芙蓉 相见 春风 不得 可怜 
故人 不知 寂寞 骨肉 颜色 风雨 洞庭 相望 浮云 行人 
一夜 世事 登高 断肠 衣裳 相识 流水 天地 空山 无情 
十五 消息 不堪 归来 落花 天涯 东风 风尘 不成 不能 
一曲 阑干 相思 犹为 萧条 平生 孤灯 不解 落叶 十年 
白首 君臣 人生 幽人 叹息 长风 儿女 处处 一声 徘徊 
万事 轮台 有情 登临 游子 风波 别离 少妇 音书 人事 
平明 弹琴 至尊 黄金 美酒 第一 行路难 一身 渔樵 风吹 
鸳鸯 幽径 清风 兄弟 少年 九重 以示 童稚 青鸟 野老 
玲珑 落日 公孙 春色 不可 倒挂 一片 道路 埋没 人间 
星河 白头 人家 冥冥 天子 夫婿 蹉跎 世情 我心 故关 
肠断 草木 红树 分明 人心 借问 一枝 回看 寒灯 瀚海 
彩云 珠帘 未改 千家 先帝 十千 霓裳 世所 百年 高楼 
不到 唯见 桃花 折枝 散入 商人 山色 舞剑 有意 主人 
荆扉 故乡 霹雳 无限 金屋 风沙 三分 相送 男儿 断绝 
衰草 枫叶 参差 看取 初见 自有 生女 云端 素手 城阙 
凄凄 斜阳 珊瑚 行舟 几回 弟子 千门 裁缝 成眠 良人 
未央 吹角 征战 舟楫 二年 涕泪 屏风 自重 猿啼 飞花 
逐客 泪痕 衣冠 垂杨 芳草 侍女 梧桐 割据 寂寂 边庭 
渡头 光彩 浣纱 大厦 鸟性 星宿 羌笛 劝君 大荒 花开 
故园 战士 吞声 旌旗 马蹄 神明 下马 一寸 多情 无力 
潭影 灯影 管弦 不足 祠庙 白骨 隐处 谪居 窗户 身手 
干土 讲解 绣蝥 少陵 载笔 纸本 私语 景入 独酌 名山 
拦道 教授 寒塘 生涯 水滨 风日 禅意 阵云 古台 文藻 
论功 独见 神秀 心耳 勤王 清庙 成告 归去 轻骑 危石 
徒劳 应有 来途 催寒 世变 塔势 七层 少壮 出行 几缕 
双双 水精 山翁 水源 霄汉 铁衣 倾国 是非 上将 三千 
天地间 犹自 有心 剑器 萝径 不信 低头 载酒 金丸 未落 
细草 扇裁 花落 乱石 扶持 石鼓 富贵 惜别 世贤 十三 
跃马 自爱 结中肠 相向 五花 复来 仰见 未及 牵萝 征人 
